Company Name,Date,Net sales,Total expenses,Net Profit/(Loss) for the period from continuing operations (after tax),PBT,PBDIT,PAT as % of net sales,Sector
Tata Consumer Products Ltd.,2015-06-30,11558.1,11389.4,1282.6,1964.7,3883.9,11.1,Plantations
Tata Elxsi Ltd.,2015-06-30,8023.2,6992.8,654.4,1002.3,1174.5,8.16,Computers
Tata Investment Corpn. Ltd.,2015-06-30,2435.2,2151.5,357.2,546.0,598.7,14.67,Finance
Tata Motors Ltd.,2015-06-30,184.0,123.9,365.3,450.3,450.6,198.53,Auto
Tata Power Co. Ltd.,2015-06-30,93242.0,103603.2,2898.4,3320.0,13690.4,3.11,Power
Tata Steel Ltd.,2015-06-30,21753.2,22185.3,3337.7,4916.2,9954.8,15.34,Steel
Tech Mahindra Ltd.,2015-06-30,90753.1,89804.6,4253.4,6872.8,19238.4,4.69,Computers
Thermax Ltd.,2015-06-30,50163.1,46115.0,8031.0,9687.1,11054.0,16.01,Infrastructure
Timken India Ltd.,2015-06-30,10173.1,9891.8,558.4,829.2,998.3,5.49,Bearings
Titan Company Ltd.,2015-06-30,2618.5,2419.9,235.8,358.0,406.5,9.01,Miscellaneous
Torrent Pharmaceuticals Ltd.,2015-06-30,27086.4,23107.4,1514.5,2044.1,2391.1,5.59,Pharmaceuticals
Trent Ltd.,2015-06-30,18670.0,11160.0,8390.0,11490.0,12540.0,44.94,Retail
Trident Ltd.,2015-06-30,3495.0,3304.2,145.0,217.3,395.8,4.15,Textiles
U P L Ltd.,2015-06-30,8743.7,8393.4,621.9,734.1,1991.3,7.11,Chemicals
Uflex Ltd.,2015-06-30,15561.5,15754.9,273.3,484.7,2701.2,1.76,Packaging
Uno Minda Ltd.,2015-06-30,9053.2,8663.2,400.9,561.5,1256.8,4.43,Auto
V I P Industries Ltd.,2015-06-30,3412.2,3323.8,136.0,172.5,308.7,3.99,Personal
V S T Industries Ltd.,2015-06-30,3543.8,3144.4,250.8,362.2,397.9,7.08,Cigarettes
Vaibhav Global Ltd.,2015-06-30,1914.4,1644.5,309.2,475.2,556.3,16.15,Retail
Vakrangee Ltd.,2015-06-30,835.2,785.8,68.5,107.6,125.6,8.2,Computers
Vardhman Textiles Ltd.,2015-06-30,7009.6,6164.6,862.4,1313.0,1893.1,12.3,Textiles
Vedanta Ltd.,2015-06-30,13988.5,12630.0,1443.5,1975.9,3082.6,10.32,Mining
Vinati Organics Ltd.,2015-06-30,78792.5,78197.3,5890.0,5890.0,16913.3,7.48,Chemicals
Voltas Ltd.,2015-06-30,1633.9,1302.0,310.4,472.6,542.8,19.0,Diversified
Welspun India Ltd.,2015-06-30,15358.6,14713.1,774.2,1089.6,1153.4,5.04,Textiles
Westlife Development Ltd.,2015-06-30,11948.2,10074.6,1880.6,2681.4,3720.3,15.74,Hotels
Whirlpool Of India Ltd.,2015-06-30,,1.0,-0.4,-0.2,-0.2,,Consumer
Wipro Ltd.,2015-06-30,10850.6,8994.3,968.3,1449.7,1650.3,8.92,Computers
Wockhardt Ltd.,2015-06-30,107754.0,93497.0,20630.0,26418.0,29728.0,19.15,Pharmaceuticals
Zee Entertainment Enterprises Ltd.,2015-06-30,5129.2,5702.3,-314.4,-313.8,130.7,-6.13,Media
Zensar Technologies Ltd.,2015-06-30,9702.3,8911.9,1376.8,2412.9,2622.2,14.19,Computers
Zydus Lifesciences Ltd.,2015-06-30,2896.6,2503.4,634.7,885.8,970.7,21.91,Pharmaceuticals
,2015-06-30,19141.0,13068.0,5650.0,6883.0,7461.0,29.52,null
3M India Ltd.,2015-09-30,5245.0,4794.0,476.1,757.9,880.2,9.08,Diversified
A B B India Ltd.,2015-09-30,19689.7,19436.8,587.4,953.7,1562.6,2.98,Infrastructure
A C C Ltd.,2015-09-30,27898.2,27357.7,1170.3,1558.8,3315.7,4.19,Cement
A P L Apollo Tubes Ltd.,2015-09-30,6866.7,6929.2,98.6,98.6,255.9,1.44,Steel
Aarti Drugs Ltd.,2015-09-30,2576.5,2691.8,155.1,225.1,420.2,6.02,Pharmaceuticals
Aarti Industries Ltd.,2015-09-30,7099.8,6609.5,612.1,777.1,1299.4,8.62,Chemicals
Abbott India Ltd.,2015-09-30,6489.8,6065.6,611.6,958.1,996.4,9.42,Pharmaceuticals
Adani Enterprises Ltd.,2015-09-30,19799.4,20329.8,2167.9,2167.9,5099.0,10.95,Trading
